dataset,seed,split,sample_index,node_id,label,pred_frozen,pred_combined,margin_f,margin_fc,margin_gain
Actor,2,test,0,0,3,4,3,-0.14522254467010498,0.018110334873199463,0.16333287954330444
Actor,2,test,6,6,2,4,3,-0.3509802222251892,-0.6019996404647827,-0.2510194182395935
Actor,2,test,13,13,0,4,3,-0.4676048159599304,-0.9164249897003174,-0.44882017374038696
Actor,2,test,17,17,3,4,4,-0.1535731554031372,-0.11596357822418213,0.03760957717895508
Actor,2,test,25,25,4,4,4,0.10436546802520752,0.4000115394592285,0.295646071434021
Actor,2,test,26,26,3,4,3,-0.20906585454940796,0.24361789226531982,0.4526837468147278
Actor,2,test,29,29,4,4,3,0.14243578910827637,-0.06499770283699036,-0.20743349194526672
Actor,2,test,30,30,4,4,4,0.12884140014648438,0.18273258209228516,0.05389118194580078
Actor,2,test,37,37,3,4,4,-0.19877833127975464,-0.49697279930114746,-0.2981944680213928
Actor,2,test,40,40,3,4,4,-0.16697943210601807,-0.41231924295425415,-0.24533981084823608
Actor,2,test,46,46,0,4,4,-0.4243807792663574,-1.537935733795166,-1.1135549545288086
Actor,2,test,52,52,0,4,3,-0.463853657245636,-0.6568726301193237,-0.19301897287368774
Actor,2,test,56,56,3,4,3,-0.1995779275894165,0.20007139444351196,0.39964932203292847
Actor,2,test,61,61,3,4,3,-0.1314678192138672,0.14005345106124878,0.27152127027511597
Actor,2,test,64,64,3,4,4,-0.20930218696594238,-0.08013045787811279,0.1291717290878296
Actor,2,test,77,77,3,4,3,-0.13965821266174316,0.06242942810058594,0.2020876407623291
Actor,2,test,79,79,0,4,4,-0.4711650013923645,-1.2313258647918701,-0.7601608633995056
Actor,2,test,81,81,3,4,4,-0.14378052949905396,-0.03695178031921387,0.10682874917984009
Actor,2,test,85,85,1,4,3,-0.12544119358062744,-0.7266751527786255,-0.601233959197998
Actor,2,test,92,92,2,4,3,-0.32302677631378174,-0.7097498774528503,-0.3867231011390686
Actor,2,test,103,103,1,4,3,-0.1542748212814331,-0.5395951271057129,-0.3853203058242798
Actor,2,test,104,104,2,4,3,-0.38371503353118896,-0.6966635584831238,-0.3129485249519348
Actor,2,test,107,107,1,4,3,-0.14248859882354736,-0.4630512595176697,-0.3205626606941223
Actor,2,test,110,110,2,4,3,-0.3753199577331543,-0.6824559569358826,-0.30713599920272827
Actor,2,test,117,117,4,4,3,0.15097224712371826,-0.3542904853820801,-0.5052627325057983
Actor,2,test,119,119,3,4,4,-0.16549301147460938,-0.09125649929046631,0.07423651218414307
Actor,2,test,131,131,1,4,4,-0.15542340278625488,-2.284590005874634,-2.129166603088379
Actor,2,test,141,141,1,4,3,-0.19863367080688477,-0.40856361389160156,-0.2099299430847168
Actor,2,test,142,142,2,4,3,-0.3684810400009155,-0.7043344378471375,-0.3358533978462219
Actor,2,test,148,148,2,4,3,-0.3499739170074463,-0.7086597681045532,-0.35868585109710693
Actor,2,test,150,150,1,4,3,-0.05734539031982422,-0.4597514271736145,-0.4024060368537903
Actor,2,test,153,153,1,4,3,-0.13634419441223145,-0.7798804044723511,-0.6435362100601196
Actor,2,test,158,158,1,4,3,-0.15692079067230225,-0.7384167313575745,-0.5814959406852722
Actor,2,test,159,159,3,4,4,-0.1517045497894287,-0.13899517059326172,0.012709379196166992
Actor,2,test,167,167,0,4,3,-0.44608062505722046,-0.648465633392334,-0.20238500833511353
Actor,2,test,175,175,4,4,4,0.1496901512145996,0.49195605516433716,0.34226590394973755
Actor,2,test,184,184,2,4,4,-0.36434853076934814,-1.0824909210205078,-0.7181423902511597
Actor,2,test,185,185,3,4,4,-0.22874373197555542,-0.4363554120063782,-0.20761168003082275
Actor,2,test,195,195,1,4,4,-0.08421647548675537,-2.034273862838745,-1.9500573873519897
Actor,2,test,207,207,2,4,3,-0.33115047216415405,-0.6784131526947021,-0.3472626805305481
Actor,2,test,213,213,0,4,4,-0.47672396898269653,-1.5177240371704102,-1.0410001277923584
Actor,2,test,223,223,1,4,3,-0.15844130516052246,-0.751988410949707,-0.5935471057891846
Actor,2,test,227,227,3,4,4,-0.17648208141326904,-0.42461878061294556,-0.2481366991996765
Actor,2,test,234,234,3,4,4,-0.14553046226501465,-0.42714136838912964,-0.281610906124115
Actor,2,test,235,235,2,4,3,-0.3644249439239502,-0.6263935565948486,-0.26196861267089844
Actor,2,test,237,237,4,4,3,0.15269672870635986,-0.20495480298995972,-0.3576515316963196
Actor,2,test,244,244,2,4,4,-0.34957802295684814,-0.5896884202957153,-0.2401103973388672
Actor,2,test,250,250,0,4,3,-0.46427077054977417,-0.6837149262428284,-0.2194441556930542
Actor,2,test,257,257,3,4,3,-0.22366869449615479,0.05035287141799927,0.27402156591415405
Actor,2,test,266,266,3,4,3,-0.14307427406311035,0.17891299724578857,0.3219872713088989
Actor,2,test,271,271,1,4,4,-0.1461479663848877,-1.0454449653625488,-0.8992969989776611
Actor,2,test,274,274,2,4,4,-0.3596067428588867,-0.976710855960846,-0.6171041131019592
Actor,2,test,277,277,0,4,4,-0.4200792908668518,-1.3316807746887207,-0.9116014838218689
Actor,2,test,281,281,2,4,4,-0.3731715679168701,-1.0372886657714844,-0.6641170978546143
Actor,2,test,282,282,2,4,4,-0.27559149265289307,-1.429429054260254,-1.1538375616073608
Actor,2,test,283,283,3,4,3,-0.16482365131378174,0.3654078245162964,0.5302314758300781
Actor,2,test,286,286,3,4,3,-0.1666073203086853,0.06203290820121765,0.22864022850990295
Actor,2,test,287,287,1,4,4,-0.14379775524139404,-1.4899790287017822,-1.3461812734603882
Actor,2,test,291,291,1,4,4,-0.13300251960754395,-1.153930902481079,-1.0209283828735352
Actor,2,test,293,293,4,4,4,0.1255793571472168,0.020416736602783203,-0.1051626205444336
Actor,2,test,297,297,2,4,3,-0.30009371042251587,-0.5513185858726501,-0.2512248754501343
Actor,2,test,304,304,3,4,4,-0.22380506992340088,-0.5960977077484131,-0.3722926378250122
Actor,2,test,306,306,3,4,3,-0.2002776861190796,0.09987932443618774,0.30015701055526733
Actor,2,test,316,316,4,4,3,0.15555262565612793,-0.20392978191375732,-0.35948240756988525
Actor,2,test,318,318,3,4,3,-0.17687463760375977,0.3552665114402771,0.5321411490440369
Actor,2,test,320,320,3,4,4,-0.16716605424880981,-0.5100839138031006,-0.34291785955429077
Actor,2,test,322,322,1,4,3,-0.16861915588378906,-0.5292421579360962,-0.36062300205230713
Actor,2,test,325,325,2,4,4,-0.36246800422668457,-1.2056243419647217,-0.8431563377380371
Actor,2,test,334,334,2,4,3,-0.35118401050567627,-0.6140521764755249,-0.26286816596984863
Actor,2,test,335,335,3,4,3,-0.15972661972045898,0.39970099925994873,0.5594276189804077
Actor,2,test,341,341,4,4,4,0.08620584011077881,0.7661030292510986,0.6798971891403198
Actor,2,test,354,354,3,4,4,-0.1601850986480713,-0.2599330544471741,-0.09974795579910278
Actor,2,test,355,355,0,4,4,-0.5073155760765076,-1.9697113037109375,-1.4623956680297852
Actor,2,test,356,356,3,4,3,-0.15075331926345825,0.3229510188102722,0.47370433807373047
Actor,2,test,360,360,2,4,3,-0.2697024345397949,-0.5625794529914856,-0.2928770184516907
Actor,2,test,395,395,1,4,3,-0.14679157733917236,-0.41222333908081055,-0.2654317617416382
Actor,2,test,409,409,1,4,3,-0.2256397008895874,-0.6712812185287476,-0.44564151763916016
Actor,2,test,410,410,3,4,3,-0.1450185775756836,0.09800928831100464,0.24302786588668823
Actor,2,test,431,431,3,4,4,-0.15185362100601196,-0.35963648557662964,-0.20778286457061768
Actor,2,test,439,439,3,4,3,-0.2007807493209839,0.1650407910346985,0.3658215403556824
Actor,2,test,444,444,3,4,3,-0.1442660093307495,0.22152668237686157,0.3657926917076111
Actor,2,test,451,451,3,4,4,-0.1430373191833496,-0.16627460718154907,-0.023237287998199463
Actor,2,test,453,453,1,4,4,-0.14697986841201782,-2.1202573776245117,-1.9732775688171387
Actor,2,test,455,455,4,4,4,0.15447545051574707,0.23500818014144897,0.0805327296257019
Actor,2,test,461,461,0,4,3,-0.41620099544525146,-0.4068065881729126,0.009394407272338867
Actor,2,test,462,462,0,4,4,-0.45812398195266724,-1.0968999862670898,-0.6387760043144226
Actor,2,test,464,464,4,4,3,0.10615360736846924,-0.3748600482940674,-0.4810136556625366
Actor,2,test,472,472,4,4,3,0.14405298233032227,-0.02809026837348938,-0.17214325070381165
Actor,2,test,473,473,2,4,4,-0.3531273603439331,-0.7741208076477051,-0.420993447303772
Actor,2,test,479,479,1,4,4,-0.132110595703125,-1.2423899173736572,-1.1102793216705322
Actor,2,test,480,480,4,4,4,0.13570117950439453,0.05376070737838745,-0.08194047212600708
Actor,2,test,485,485,2,4,4,-0.2732909917831421,-1.6696712970733643,-1.3963803052902222
Actor,2,test,486,486,4,4,4,0.13136720657348633,0.2188623547554016,0.08749514818191528
Actor,2,test,495,495,4,4,3,0.15162956714630127,-0.34930694103240967,-0.5009365081787109
Actor,2,test,498,498,1,4,3,-0.22155165672302246,-0.8536581993103027,-0.6321065425872803
Actor,2,test,502,502,0,4,3,-0.4734497666358948,-0.5769990682601929,-0.1035493016242981
Actor,2,test,503,503,3,4,3,-0.15161395072937012,0.25080788135528564,0.40242183208465576
Actor,2,test,506,506,4,4,3,0.140130877494812,-0.1785176396369934,-0.3186485171318054
Actor,2,test,507,507,1,4,4,-0.16821837425231934,-0.9108757376670837,-0.7426573634147644
Actor,2,test,520,520,4,4,4,0.14717912673950195,0.17950552701950073,0.03232640027999878
Actor,2,test,521,521,4,4,4,0.13795506954193115,0.28777962923049927,0.14982455968856812
Actor,2,test,522,522,4,4,4,0.1505126953125,0.4851875305175781,0.3346748352050781
Actor,2,test,523,523,0,4,3,-0.4451161026954651,-0.4928596615791321,-0.04774355888366699
Actor,2,test,524,524,3,4,4,-0.14405179023742676,-0.23751932382583618,-0.09346753358840942
Actor,2,test,527,527,2,4,4,-0.3468977212905884,-0.8110681176185608,-0.4641703963279724
Actor,2,test,528,528,4,4,3,0.14646399021148682,-0.2410827875137329,-0.3875467777252197
Actor,2,test,543,543,2,4,3,-0.35475218296051025,-0.6002460718154907,-0.24549388885498047
Actor,2,test,556,556,1,4,3,-0.12096059322357178,-0.4055771827697754,-0.2846165895462036
Actor,2,test,565,565,3,4,3,-0.1944187879562378,0.29233288764953613,0.4867516756057739
Actor,2,test,566,566,4,4,3,0.1508166790008545,-0.09114420413970947,-0.24196088314056396
Actor,2,test,567,567,0,4,4,-0.4327557682991028,-1.6464996337890625,-1.2137439250946045
Actor,2,test,571,571,3,4,4,-0.13634109497070312,-0.25625795125961304,-0.11991685628890991
Actor,2,test,581,581,1,4,4,-0.1337130069732666,-0.9164063334465027,-0.7826933264732361
Actor,2,test,585,585,0,4,3,-0.40951091051101685,-1.0748093128204346,-0.6652984023094177
Actor,2,test,589,589,4,4,4,0.16809213161468506,0.41362982988357544,0.24553769826889038
Actor,2,test,594,594,4,4,3,0.12051928043365479,-0.504621148109436,-0.6251404285430908
Actor,2,test,598,598,2,4,4,-0.34823912382125854,-0.764944851398468,-0.4167057275772095
Actor,2,test,599,599,4,4,4,0.04753565788269043,0.05677145719528198,0.009235799312591553
Actor,2,test,605,605,3,4,3,-0.1625908613204956,0.1318669617176056,0.2944578230381012
Actor,2,test,606,606,0,4,4,-0.4668070077896118,-1.454658031463623,-0.9878510236740112
Actor,2,test,612,612,3,4,3,-0.15278971195220947,0.2963212728500366,0.4491109848022461
Actor,2,test,624,624,1,4,3,-0.1182941198348999,-0.36264145374298096,-0.24434733390808105
Actor,2,test,637,637,3,4,3,-0.15161681175231934,0.2872813045978546,0.43889811635017395
Actor,2,test,638,638,1,4,3,-0.16970908641815186,-0.5131378173828125,-0.34342873096466064
