dataset,seed,split,sample_index,node_id,label,pred_frozen,pred_combined,margin_f,margin_fc,margin_gain
Cora_ML,1,test,0,0,0,1,0,-5.06207275390625,4.908979415893555,9.971052169799805
Cora_ML,1,test,1,1,1,1,1,1.2597904205322266,2.8802013397216797,1.6204109191894531
Cora_ML,1,test,2,2,1,1,1,1.245441198348999,1.344594955444336,0.09915375709533691
Cora_ML,1,test,3,3,2,1,2,-6.749859809875488,15.201277732849121,21.95113754272461
Cora_ML,1,test,4,4,2,1,2,-6.263055801391602,16.417871475219727,22.680927276611328
Cora_ML,1,test,5,5,1,1,1,0.9468722343444824,3.616569995880127,2.6696977615356445
Cora_ML,1,test,6,6,2,1,2,-6.454410076141357,5.159853458404541,11.614263534545898
Cora_ML,1,test,7,7,1,1,1,1.250753402709961,4.965097427368164,3.714344024658203
Cora_ML,1,test,8,8,0,1,0,-4.878039360046387,7.656246185302734,12.534285545349121
Cora_ML,1,test,9,9,1,1,1,1.153365135192871,4.688999176025391,3.5356340408325195
Cora_ML,1,test,11,11,0,1,0,-4.932793617248535,7.2987518310546875,12.231545448303223
Cora_ML,1,test,12,12,3,1,4,-1.6354689598083496,-4.255485534667969,-2.620016574859619
Cora_ML,1,test,13,13,3,1,3,-1.6153175830841064,1.9395942687988281,3.5549118518829346
Cora_ML,1,test,14,14,3,1,3,-1.2998862266540527,3.138256072998047,4.4381422996521
Cora_ML,1,test,15,15,3,1,3,-1.3188142776489258,0.5557861328125,1.8746004104614258
Cora_ML,1,test,16,16,3,1,3,-1.49261474609375,2.310497283935547,3.803112030029297
Cora_ML,1,test,17,17,0,1,0,-4.40969181060791,3.0380136966705322,7.447705268859863
Cora_ML,1,test,18,18,3,1,4,-1.7009916305541992,-0.13852310180664062,1.5624685287475586
Cora_ML,1,test,19,19,3,1,3,-1.5029306411743164,3.867687225341797,5.370617866516113
Cora_ML,1,test,20,20,4,1,4,-1.2989015579223633,6.08624267578125,7.385144233703613
Cora_ML,1,test,21,21,4,1,1,-1.3050262928009033,-4.764718055725098,-3.4596917629241943
Cora_ML,1,test,23,23,0,1,0,-5.350806713104248,6.540306091308594,11.89111328125
Cora_ML,1,test,24,24,0,1,0,-4.413684368133545,7.144985198974609,11.558670043945312
Cora_ML,1,test,25,25,6,1,6,-8.486042022705078,18.72309112548828,27.20913314819336
Cora_ML,1,test,26,26,6,1,6,-8.51811695098877,12.000020027160645,20.518136978149414
Cora_ML,1,test,27,27,6,1,6,-7.9272565841674805,12.412702560424805,20.33995819091797
Cora_ML,1,test,28,28,6,1,4,-8.645614624023438,-8.808170318603516,-0.16255569458007812
Cora_ML,1,test,29,29,6,1,6,-8.503437042236328,20.910633087158203,29.41407012939453
Cora_ML,1,test,30,30,1,1,6,1.2566554546356201,-1.719940185546875,-2.976595640182495
Cora_ML,1,test,31,31,6,1,6,-7.997430801391602,19.603641510009766,27.601072311401367
Cora_ML,1,test,32,32,6,1,6,-8.50759506225586,9.116989135742188,17.624584197998047
Cora_ML,1,test,33,33,6,1,6,-7.044944763183594,18.372264862060547,25.41720962524414
Cora_ML,1,test,34,34,6,1,6,-7.704275608062744,13.425210952758789,21.129486083984375
Cora_ML,1,test,36,36,6,1,6,-8.020811080932617,15.433897018432617,23.454708099365234
Cora_ML,1,test,37,37,6,1,6,-8.417285919189453,14.673922538757324,23.091209411621094
Cora_ML,1,test,38,38,6,1,6,-8.295389175415039,16.639013290405273,24.934402465820312
Cora_ML,1,test,39,39,6,1,6,-8.354141235351562,13.444707870483398,21.79884910583496
Cora_ML,1,test,40,40,6,1,1,-8.183548927307129,-6.5969557762146,1.5865931510925293
Cora_ML,1,test,41,41,6,1,6,-8.676994323730469,13.496417045593262,22.173412322998047
Cora_ML,1,test,42,42,6,1,6,-7.831776142120361,12.754739761352539,20.586515426635742
Cora_ML,1,test,43,43,6,1,6,-8.116077423095703,0.21681928634643555,8.332897186279297
Cora_ML,1,test,44,44,6,1,6,-8.405484199523926,18.525413513183594,26.930896759033203
Cora_ML,1,test,45,45,6,1,6,-7.290260314941406,17.946399688720703,25.23666000366211
Cora_ML,1,test,46,46,6,1,4,-8.554301261901855,-7.891144752502441,0.6631565093994141
Cora_ML,1,test,48,48,6,1,6,-8.23715877532959,22.022876739501953,30.26003646850586
Cora_ML,1,test,49,49,6,1,6,-7.358296871185303,15.133548736572266,22.491846084594727
Cora_ML,1,test,50,50,6,1,6,-7.445711135864258,20.3029842376709,27.748695373535156
Cora_ML,1,test,51,51,6,1,6,-8.265097618103027,10.282806396484375,18.54790496826172
Cora_ML,1,test,52,52,6,1,4,-7.6786909103393555,-10.009799003601074,-2.3311080932617188
Cora_ML,1,test,53,53,6,1,6,-8.05509090423584,16.703083038330078,24.758174896240234
Cora_ML,1,test,54,54,6,1,6,-7.347232818603516,23.018661499023438,30.365894317626953
Cora_ML,1,test,55,55,6,1,6,-8.30255126953125,15.131368637084961,23.43391990661621
Cora_ML,1,test,56,56,6,1,6,-8.442835807800293,12.588268280029297,21.031105041503906
Cora_ML,1,test,57,57,6,1,6,-7.595699310302734,21.354225158691406,28.94992446899414
Cora_ML,1,test,58,58,6,1,6,-7.866627216339111,21.960182189941406,29.82680892944336
Cora_ML,1,test,59,59,6,1,6,-7.162049770355225,17.525537490844727,24.68758773803711
Cora_ML,1,test,60,60,6,1,6,-7.780727386474609,18.98876953125,26.76949691772461
Cora_ML,1,test,61,61,6,1,4,-8.704476356506348,-10.460898399353027,-1.7564220428466797
Cora_ML,1,test,62,62,6,1,6,-8.501991271972656,6.937196254730225,15.439188003540039
Cora_ML,1,test,63,63,6,1,6,-7.641601085662842,24.500316619873047,32.14191818237305
Cora_ML,1,test,64,64,6,1,6,-8.154444694519043,13.36904239654541,21.523487091064453
Cora_ML,1,test,65,65,6,1,6,-8.162662506103516,15.055304527282715,23.217967987060547
Cora_ML,1,test,66,66,6,1,6,-7.546022891998291,23.15502166748047,30.7010440826416
Cora_ML,1,test,67,67,6,1,6,-8.428092002868652,12.519482612609863,20.947574615478516
Cora_ML,1,test,68,68,6,1,6,-8.61014175415039,16.720041275024414,25.330183029174805
Cora_ML,1,test,69,69,6,1,6,-8.375617980957031,12.490361213684082,20.865978240966797
Cora_ML,1,test,70,70,6,1,6,-8.247961044311523,9.823858261108398,18.071819305419922
Cora_ML,1,test,71,71,6,1,6,-8.49091911315918,15.020299911499023,23.511219024658203
Cora_ML,1,test,72,72,6,1,6,-7.917367935180664,20.163055419921875,28.08042335510254
Cora_ML,1,test,73,73,6,1,2,-7.2584028244018555,-2.625542640686035,4.63286018371582
Cora_ML,1,test,74,74,6,1,6,-7.873081684112549,13.188294410705566,21.061376571655273
Cora_ML,1,test,75,75,6,1,6,-8.428537368774414,14.889399528503418,23.317935943603516
