dataset,seed,split,sample_index,node_id,label,pred_frozen,pred_combined,margin_f,margin_fc,margin_gain
DBLP,1,test,0,0,0,1,2,-1.463559865951538,-1.9365253448486328,-0.4729654788970947
DBLP,1,test,1,1,0,1,0,-1.3679050207138062,0.4325900077819824,1.8004950284957886
DBLP,1,test,2,2,0,1,1,-1.4216176271438599,-3.1546378135681152,-1.7330201864242554
DBLP,1,test,3,3,0,1,1,-1.388291597366333,-2.0676651000976562,-0.6793735027313232
DBLP,1,test,4,4,0,1,0,-1.293860912322998,0.08809411525726318,1.3819550275802612
DBLP,1,test,5,5,0,1,1,-1.2383508682250977,-3.461872100830078,-2.2235212326049805
DBLP,1,test,7,7,3,1,1,-1.2326436042785645,-2.0321602821350098,-0.7995166778564453
DBLP,1,test,8,8,0,1,0,-1.3664937019348145,6.918529510498047,8.285022735595703
DBLP,1,test,9,9,0,1,0,-1.4147663116455078,4.978588104248047,6.393354415893555
DBLP,1,test,10,10,0,1,0,-1.2616889476776123,6.985625743865967,8.247314453125
DBLP,1,test,12,12,0,1,3,-1.4747095108032227,-0.5878149271011353,0.8868945837020874
DBLP,1,test,14,14,0,1,0,-1.4700758457183838,0.9454258680343628,2.415501594543457
DBLP,1,test,15,15,0,1,3,-1.2758479118347168,-0.1946568489074707,1.081191062927246
DBLP,1,test,16,16,0,1,0,-1.4144957065582275,6.336076736450195,7.750572204589844
DBLP,1,test,17,17,0,1,0,-1.264280080795288,7.166506290435791,8.4307861328125
DBLP,1,test,18,18,0,1,0,-1.2395451068878174,7.263818264007568,8.503363609313965
DBLP,1,test,19,19,0,1,0,-1.340155005455017,5.322970867156982,6.663125991821289
DBLP,1,test,20,20,0,1,0,-1.3640509843826294,5.1035356521606445,6.467586517333984
DBLP,1,test,21,21,0,1,0,-1.3797938823699951,3.8260750770568848,5.205868721008301
DBLP,1,test,23,23,0,1,0,-1.25333571434021,7.158583164215088,8.411918640136719
DBLP,1,test,24,24,0,1,0,-1.3365097045898438,6.640201091766357,7.976710796356201
DBLP,1,test,25,25,0,1,1,-1.2989702224731445,-0.008900761604309082,1.2900694608688354
DBLP,1,test,26,26,1,1,1,1.1388158798217773,1.9365274906158447,0.7977116107940674
DBLP,1,test,27,27,0,1,0,-1.3485627174377441,1.4807058572769165,2.829268455505371
DBLP,1,test,28,28,0,1,1,-1.31404709815979,-1.3465243577957153,-0.03247725963592529
DBLP,1,test,29,29,0,1,0,-1.3854293823242188,1.327215552330017,2.7126450538635254
DBLP,1,test,31,31,0,1,1,-1.4085321426391602,-1.7671077251434326,-0.35857558250427246
DBLP,1,test,32,32,0,1,1,-1.3447632789611816,-1.3852431774139404,-0.04047989845275879
DBLP,1,test,33,33,0,1,0,-1.3880066871643066,0.8000630140304565,2.1880698204040527
DBLP,1,test,34,34,0,1,3,-1.375686764717102,-0.6878777742385864,0.6878089904785156
DBLP,1,test,35,35,0,1,0,-1.1001648902893066,5.325394153594971,6.425559043884277
DBLP,1,test,36,36,3,1,3,-1.2278883457183838,0.7199662923812866,1.9478546380996704
DBLP,1,test,40,40,0,1,0,-1.422400951385498,1.5406702756881714,2.963071346282959
DBLP,1,test,41,41,0,1,0,-1.3244692087173462,2.5997748374938965,3.924243927001953
DBLP,1,test,42,42,0,1,0,-1.4864165782928467,2.9892539978027344,4.47567081451416
DBLP,1,test,43,43,0,1,0,-1.3413217067718506,4.616375923156738,5.957697868347168
DBLP,1,test,44,44,0,1,3,-1.4398341178894043,-0.6300665140151978,0.8097676038742065
DBLP,1,test,45,45,0,1,3,-1.3696995973587036,-0.10390329360961914,1.2657963037490845
DBLP,1,test,47,47,0,1,0,-1.359097957611084,6.893871784210205,8.252969741821289
DBLP,1,test,48,48,0,1,0,-1.2593803405761719,6.931621551513672,8.191001892089844
DBLP,1,test,49,49,0,1,0,-1.313571810722351,6.6654229164123535,7.978994846343994
DBLP,1,test,50,50,0,1,0,-1.275019884109497,7.104739665985107,8.379759788513184
DBLP,1,test,51,51,0,1,0,-1.2495508193969727,6.373505115509033,7.623055934906006
DBLP,1,test,53,53,0,1,0,-1.2497540712356567,6.76895809173584,8.018712043762207
DBLP,1,test,54,54,0,1,0,-1.4638023376464844,5.913917541503906,7.377719879150391
DBLP,1,test,55,55,0,1,0,-1.4319262504577637,5.41149377822876,6.843420028686523
