dataset,seed,split,sample_index,node_id,label,pred_frozen,pred_combined,margin_f,margin_fc,margin_gain
Photo,1,test,0,0,6,6,6,1.7823829650878906,4.146130561828613,2.3637475967407227
Photo,1,test,1,1,4,6,4,-5.1602253913879395,24.679100036621094,29.839324951171875
Photo,1,test,2,2,3,6,3,-4.183819770812988,34.81016540527344,38.99398422241211
Photo,1,test,4,4,5,6,5,-6.128697872161865,16.78512191772461,22.913820266723633
Photo,1,test,5,5,3,6,3,-4.544835090637207,20.52703094482422,25.07186508178711
Photo,1,test,6,6,4,6,4,-5.439882278442383,13.517135620117188,18.95701789855957
Photo,1,test,7,7,2,6,2,-11.115827560424805,25.52358055114746,36.639408111572266
Photo,1,test,8,8,3,6,3,-4.512551307678223,21.268863677978516,25.781414031982422
Photo,1,test,9,9,6,6,6,1.945305347442627,13.818502426147461,11.873197555541992
Photo,1,test,10,10,2,6,2,-11.071413040161133,47.15814208984375,58.22955322265625
Photo,1,test,11,11,5,6,5,-6.533867359161377,8.882505416870117,15.416372299194336
Photo,1,test,12,12,1,6,1,-1.9603219032287598,28.263103485107422,30.223424911499023
Photo,1,test,13,13,1,6,1,-1.97194242477417,12.691584587097168,14.66352653503418
Photo,1,test,15,15,2,6,3,-10.080263137817383,-20.25507354736328,-10.174810409545898
Photo,1,test,16,16,0,6,0,-10.519607543945312,22.095619201660156,32.61522674560547
Photo,1,test,17,17,5,6,5,-5.918883323669434,18.17258071899414,24.09146499633789
Photo,1,test,18,18,6,6,6,1.5971965789794922,10.511116027832031,8.913919448852539
Photo,1,test,19,19,5,6,5,-5.785059928894043,22.73282241821289,28.51788330078125
Photo,1,test,20,20,4,6,4,-5.122620582580566,20.161163330078125,25.283782958984375
Photo,1,test,21,21,1,6,1,-2.7114062309265137,26.685747146606445,29.397153854370117
Photo,1,test,22,22,5,6,5,-5.631380558013916,20.220020294189453,25.85140037536621
Photo,1,test,23,23,6,6,6,1.5565919876098633,12.93697738647461,11.380385398864746
Photo,1,test,24,24,6,6,6,1.6085491180419922,9.228936195373535,7.620387077331543
Photo,1,test,26,26,6,6,6,1.7384161949157715,10.516977310180664,8.778560638427734
Photo,1,test,27,27,4,6,4,-5.076688289642334,8.372055053710938,13.44874382019043
Photo,1,test,28,28,4,6,4,-5.226789474487305,16.691768646240234,21.91855812072754
Photo,1,test,29,29,5,6,5,-6.1479573249816895,18.316757202148438,24.46471405029297
Photo,1,test,30,30,1,6,1,-2.5261576175689697,21.469219207763672,23.995376586914062
Photo,1,test,31,31,1,6,1,-2.051785945892334,19.729480743408203,21.781267166137695
Photo,1,test,32,32,1,6,1,-1.794619083404541,26.018505096435547,27.81312370300293
Photo,1,test,33,33,6,6,6,1.8070673942565918,10.537115097045898,8.730047225952148
Photo,1,test,34,34,7,6,7,-1.8445720672607422,19.9956111907959,21.84018325805664
Photo,1,test,35,35,0,6,0,-10.891416549682617,30.500856399536133,41.39227294921875
Photo,1,test,36,36,4,6,4,-5.160179138183594,23.318599700927734,28.478778839111328
Photo,1,test,37,37,1,6,1,-2.078256130218506,22.765403747558594,24.843660354614258
Photo,1,test,39,39,4,6,4,-5.117979049682617,22.916767120361328,28.034746170043945
Photo,1,test,40,40,4,6,4,-5.295950412750244,21.712350845336914,27.00830078125
Photo,1,test,41,41,7,6,7,-1.6721909046173096,13.9813232421875,15.65351390838623
Photo,1,test,42,42,6,6,6,1.556187629699707,11.279815673828125,9.723628044128418
Photo,1,test,43,43,1,6,1,-2.0455431938171387,26.0853271484375,28.130870819091797
Photo,1,test,44,44,0,6,0,-10.65798568725586,28.300594329833984,38.958580017089844
Photo,1,test,45,45,1,6,1,-2.746609687805176,24.665199279785156,27.411808013916016
Photo,1,test,46,46,1,6,1,-2.065072536468506,20.719783782958984,22.78485679626465
Photo,1,test,47,47,1,6,1,-1.2030816078186035,35.60329818725586,36.80638122558594
Photo,1,test,48,48,4,6,4,-5.1758503913879395,24.065916061401367,29.24176597595215
Photo,1,test,49,49,3,6,3,-4.40305233001709,19.91534423828125,24.318397521972656
Photo,1,test,50,50,4,6,4,-5.213937759399414,22.71821403503418,27.932151794433594
Photo,1,test,51,51,4,6,4,-5.13015079498291,24.58529281616211,29.715442657470703
Photo,1,test,52,52,1,6,1,-1.9700512886047363,26.389869689941406,28.359920501708984
Photo,1,test,53,53,1,6,1,-2.796005964279175,27.189746856689453,29.98575210571289
Photo,1,test,54,54,5,6,5,-5.82012939453125,24.857948303222656,30.678077697753906
Photo,1,test,55,55,1,6,0,-1.556722640991211,-16.497282028198242,-14.940559387207031
Photo,1,test,56,56,1,6,1,-1.8700761795043945,30.291431427001953,32.16150665283203
Photo,1,test,57,57,2,6,2,-9.513513565063477,35.47439956665039,44.9879150390625
Photo,1,test,58,58,1,6,1,-2.101504325866699,8.422115325927734,10.523619651794434
Photo,1,test,59,59,5,6,5,-6.156411647796631,5.074744701385498,11.231156349182129
Photo,1,test,60,60,6,6,6,2.006925344467163,3.7648258209228516,1.7579004764556885
Photo,1,test,61,61,6,6,6,1.563995361328125,10.212915420532227,8.648920059204102
Photo,1,test,62,62,3,6,3,-4.568763256072998,24.740407943725586,29.309171676635742
Photo,1,test,63,63,1,6,5,-2.031165599822998,-19.091144561767578,-17.059978485107422
