dataset,seed,split,sample_index,node_id,label,pred_frozen,pred_combined,margin_f,margin_fc,margin_gain
Squirrel,0,test,0,0,1,2,4,-0.17233657836914062,-1.5329656600952148,-1.3606290817260742
Squirrel,0,test,3,3,0,2,4,-0.3998720645904541,-2.19393253326416,-1.794060468673706
Squirrel,0,test,5,5,0,2,2,-0.33683550357818604,-0.03573346138000488,0.30110204219818115
Squirrel,0,test,13,13,3,2,3,-0.39839160442352295,0.028272628784179688,0.42666423320770264
Squirrel,0,test,19,19,1,2,4,-0.13086771965026855,-0.7931743860244751,-0.6623066663742065
Squirrel,0,test,23,23,2,2,2,0.01371622085571289,0.27083832025527954,0.25712209939956665
Squirrel,0,test,42,42,4,2,2,-0.18405163288116455,-0.39472031593322754,-0.210668683052063
Squirrel,0,test,43,43,3,2,2,-0.2864793539047241,-0.49505263566970825,-0.20857328176498413
Squirrel,0,test,45,45,1,2,2,-0.11209234595298767,-0.40456727147102356,-0.2924749255180359
Squirrel,0,test,49,49,2,2,0,0.02207350730895996,-0.2005123794078827,-0.22258588671684265
Squirrel,0,test,54,54,3,2,2,-0.34894704818725586,-0.4181603193283081,-0.06921327114105225
Squirrel,0,test,63,63,4,2,2,-0.11782243847846985,-0.3359098732471466,-0.21808743476867676
Squirrel,0,test,83,83,0,2,0,-0.011548429727554321,0.3922139108181,0.4037623405456543
Squirrel,0,test,87,87,1,2,2,-0.16838586330413818,-0.9819604754447937,-0.8135746121406555
Squirrel,0,test,94,94,3,2,4,-0.33868342638015747,-0.3574709892272949,-0.01878756284713745
Squirrel,0,test,96,96,2,2,2,0.13609862327575684,0.41604864597320557,0.27995002269744873
Squirrel,0,test,97,97,3,2,2,-0.3838742971420288,-0.405972957611084,-0.022098660469055176
Squirrel,0,test,101,101,0,2,0,-0.06327390670776367,0.28074729442596436,0.344021201133728
Squirrel,0,test,104,104,0,2,0,-0.1347348988056183,0.23461860418319702,0.3693535029888153
Squirrel,0,test,110,110,2,2,2,0.16489827632904053,0.012191414833068848,-0.15270686149597168
Squirrel,0,test,117,117,2,2,0,0.005509465932846069,-0.1705951690673828,-0.17610463500022888
Squirrel,0,test,120,120,2,2,0,0.16040372848510742,-0.10508263111114502,-0.26548635959625244
Squirrel,0,test,123,123,0,2,0,-0.20085370540618896,0.24969595670700073,0.4505496621131897
Squirrel,0,test,128,128,1,0,0,-0.06775310635566711,-0.4418625831604004,-0.3741094768047333
Squirrel,0,test,146,146,0,2,0,-0.1887114942073822,0.2714715003967285,0.4601829946041107
Squirrel,0,test,154,154,0,2,2,-0.1516495943069458,-0.2012861967086792,-0.0496366024017334
Squirrel,0,test,161,161,2,2,2,0.18567538261413574,0.057895541191101074,-0.12777984142303467
Squirrel,0,test,163,163,0,2,2,-0.21117904782295227,-0.46809184551239014,-0.25691279768943787
Squirrel,0,test,164,164,2,2,2,0.1831972599029541,0.03340888023376465,-0.14978837966918945
Squirrel,0,test,169,169,3,2,4,-0.2963314354419708,-0.2429715394973755,0.05335989594459534
Squirrel,0,test,170,170,1,2,0,-0.08659830689430237,-0.4397069811820984,-0.353108674287796
Squirrel,0,test,171,171,3,2,4,-0.3157297372817993,-0.7629125118255615,-0.4471827745437622
Squirrel,0,test,175,175,1,2,2,-0.09629446268081665,-0.5068532824516296,-0.410558819770813
Squirrel,0,test,177,177,0,2,0,-0.07820430397987366,0.03737694025039673,0.11558124423027039
Squirrel,0,test,179,179,0,2,2,-0.1199011504650116,-1.175611972808838,-1.055710792541504
Squirrel,0,test,191,191,2,2,2,0.16414684057235718,0.5438783168792725,0.3797314763069153
Squirrel,0,test,201,201,1,2,4,-0.14203450083732605,-1.423364520072937,-1.2813299894332886
Squirrel,0,test,202,202,2,2,0,0.15110355615615845,-0.45654261112213135,-0.6076461672782898
Squirrel,0,test,204,204,4,2,2,-0.16422677040100098,-0.5033632516860962,-0.3391364812850952
Squirrel,0,test,209,209,0,2,2,-0.2644712030887604,-0.4144963026046753,-0.15002509951591492
Squirrel,0,test,213,213,3,2,2,-0.35392558574676514,-0.7385563254356384,-0.3846307396888733
Squirrel,0,test,215,215,1,0,0,-0.07103002071380615,-0.4046720266342163,-0.33364200592041016
Squirrel,0,test,218,218,1,2,2,-0.20815777778625488,-0.13062834739685059,0.0775294303894043
Squirrel,0,test,227,227,1,2,0,-0.11159706115722656,-0.3379545211791992,-0.22635746002197266
Squirrel,0,test,228,228,0,2,0,-0.06297636032104492,0.11550498008728027,0.1784813404083252
Squirrel,0,test,231,231,3,2,2,-0.3857194185256958,-0.815307080745697,-0.4295876622200012
Squirrel,0,test,248,248,4,2,2,-0.13256511092185974,-0.09679467976093292,0.03577043116092682
Squirrel,0,test,249,249,3,2,2,-0.3490827679634094,-0.42735588550567627,-0.07827311754226685
Squirrel,0,test,254,254,1,2,4,-0.09183520078659058,-1.369849443435669,-1.2780141830444336
Squirrel,0,test,257,257,4,2,2,-0.30742689967155457,-0.5261017680168152,-0.21867486834526062
Squirrel,0,test,261,261,1,2,2,-0.1837158203125,-0.7430199384689331,-0.5593041181564331
Squirrel,0,test,266,266,3,2,0,-0.3214390277862549,-0.9037151336669922,-0.5822761058807373
Squirrel,0,test,268,268,4,2,2,-0.15281587839126587,-0.4493734836578369,-0.29655760526657104
Squirrel,0,test,270,270,0,2,2,-0.37769848108291626,-0.4474369287490845,-0.06973844766616821
Squirrel,0,test,283,283,4,2,4,-0.14985370635986328,0.5340909957885742,0.6839447021484375
Squirrel,0,test,284,284,2,2,0,0.10066735744476318,-0.5654646158218384,-0.6661319732666016
Squirrel,0,test,288,288,4,2,4,-0.18349623680114746,0.19178986549377441,0.3752861022949219
Squirrel,0,test,291,291,4,2,2,-0.16223633289337158,-0.5542242527008057,-0.3919879198074341
Squirrel,0,test,292,292,1,2,0,-0.1289650797843933,-0.31519216299057007,-0.18622708320617676
Squirrel,0,test,297,297,4,2,4,-0.1694977879524231,0.8133009672164917,0.9827987551689148
Squirrel,0,test,299,299,0,2,2,-0.3166460394859314,-0.15166187286376953,0.16498416662216187
Squirrel,0,test,303,303,4,2,4,-0.16145718097686768,0.762220561504364,0.9236777424812317
Squirrel,0,test,305,305,2,2,4,0.12935638427734375,-0.8635089993476868,-0.9928653836250305
Squirrel,0,test,314,314,0,2,4,-0.35269808769226074,-1.9084144830703735,-1.5557163953781128
Squirrel,0,test,316,316,0,0,4,0.0494193434715271,-0.58879154920578,-0.6382108926773071
Squirrel,0,test,325,325,1,2,0,-0.09955812990665436,-0.37350404262542725,-0.2739459276199341
Squirrel,0,test,328,328,2,2,2,0.17709654569625854,0.5792466998100281,0.40215015411376953
Squirrel,0,test,330,330,0,2,2,-0.3989652395248413,-0.5300886631011963,-0.13112342357635498
Squirrel,0,test,336,336,3,2,4,-0.31208062171936035,-0.28651243448257446,0.02556818723678589
Squirrel,0,test,338,338,4,2,4,-0.1269119381904602,0.21628275513648987,0.3431946933269501
Squirrel,0,test,346,346,0,2,2,-0.4128216505050659,-0.3593864440917969,0.05343520641326904
Squirrel,0,test,349,349,2,2,2,0.14471173286437988,0.09277218580245972,-0.051939547061920166
Squirrel,0,test,360,360,0,2,2,-0.4244932234287262,-1.205631971359253,-0.7811387777328491
Squirrel,0,test,364,364,2,2,2,0.16907203197479248,0.45171087980270386,0.2826388478279114
Squirrel,0,test,365,365,1,2,2,-0.1722598671913147,-0.5375826358795166,-0.3653227686882019
Squirrel,0,test,366,366,2,2,2,0.054850250482559204,0.3790038228034973,0.3241535723209381
Squirrel,0,test,367,367,2,2,2,0.1955329179763794,0.45966577529907227,0.26413285732269287
Squirrel,0,test,380,380,0,2,0,-0.3855271339416504,0.14315152168273926,0.5286786556243896
Squirrel,0,test,381,381,0,2,2,-0.2987106740474701,-0.6547788381576538,-0.3560681641101837
Squirrel,0,test,382,382,4,2,4,-0.1642526388168335,0.6691083312034607,0.8333609700202942
Squirrel,0,test,386,386,3,2,4,-0.35885071754455566,-0.19684815406799316,0.1620025634765625
Squirrel,0,test,387,387,3,2,4,-0.3453052043914795,-0.2708725929260254,0.0744326114654541
Squirrel,0,test,392,392,2,2,2,0.16347455978393555,0.24925780296325684,0.08578324317932129
Squirrel,0,test,400,400,2,2,2,0.07973730564117432,0.26629698276519775,0.18655967712402344
Squirrel,0,test,405,405,0,2,2,-0.37647807598114014,-0.4333564043045044,-0.05687832832336426
Squirrel,0,test,409,409,2,2,4,0.18974709510803223,-0.2980170249938965,-0.4877641201019287
Squirrel,0,test,415,415,1,2,0,-0.09099853038787842,-0.23593658208847046,-0.14493805170059204
Squirrel,0,test,418,418,4,2,2,-0.18894696235656738,-0.3889882564544678,-0.2000412940979004
Squirrel,0,test,421,421,3,2,2,-0.36415916681289673,-0.5766288042068481,-0.21246963739395142
Squirrel,0,test,423,423,0,2,2,-0.32265329360961914,-0.3647727966308594,-0.042119503021240234
Squirrel,0,test,431,431,1,2,2,-0.15915608406066895,-0.3336155414581299,-0.17445945739746094
Squirrel,0,test,434,434,3,2,4,-0.34516626596450806,-0.49575430154800415,-0.1505880355834961
Squirrel,0,test,446,446,0,2,0,-0.00866672396659851,0.4449685513973236,0.4536352753639221
Squirrel,0,test,452,452,4,2,2,-0.2880736291408539,-0.6916009187698364,-0.40352728962898254
Squirrel,0,test,459,459,1,2,0,-0.07370784878730774,-0.41323840618133545,-0.3395305573940277
Squirrel,0,test,460,460,1,2,2,-0.17035925388336182,-0.39781904220581055,-0.22745978832244873
Squirrel,0,test,462,462,1,2,0,-0.11714309453964233,-0.34659337997436523,-0.2294502854347229
Squirrel,0,test,463,463,1,2,2,-0.17266833782196045,-0.3221331834793091,-0.14946484565734863
Squirrel,0,test,474,474,1,2,2,-0.0798657238483429,-0.1206885576248169,-0.040822833776474
Squirrel,0,test,480,480,1,2,2,-0.18586236238479614,-0.5781088471412659,-0.3922464847564697
Squirrel,0,test,485,485,4,2,2,-0.16903162002563477,-0.33385878801345825,-0.1648271679878235
Squirrel,0,test,486,486,1,2,4,-0.21262943744659424,-2.9470739364624023,-2.7344446182250977
Squirrel,0,test,487,487,0,2,4,-0.5005933046340942,-0.6738892793655396,-0.1732959747314453
Squirrel,0,test,489,489,0,2,0,-0.39965689182281494,0.1484154462814331,0.548072338104248
Squirrel,0,test,490,490,1,2,2,-0.14158731698989868,-0.5807943344116211,-0.4392070174217224
Squirrel,0,test,499,499,2,2,4,0.0954245924949646,-1.1449742317199707,-1.24039888381958
Squirrel,0,test,507,507,3,2,4,-0.3098783493041992,-0.7455429434776306,-0.4356645941734314
Squirrel,0,test,508,508,3,2,0,-0.30456435680389404,-0.9409200549125671,-0.6363556981086731
Squirrel,0,test,510,510,1,2,0,-0.1465969681739807,-0.23663991689682007,-0.09004294872283936
Squirrel,0,test,518,518,2,2,2,0.15113770961761475,0.4121132493019104,0.26097553968429565
Squirrel,0,test,519,519,4,2,2,-0.15804821252822876,-0.586646556854248,-0.4285983443260193
Squirrel,0,test,521,521,3,2,2,-0.2941226661205292,-0.5498791933059692,-0.25575652718544006
Squirrel,0,test,530,530,3,0,2,-0.2585512697696686,-0.15702983736991882,0.10152143239974976
Squirrel,0,test,535,535,4,2,4,-0.216930091381073,0.03403344750404358,0.2509635388851166
Squirrel,0,test,545,545,3,2,2,-0.27739301323890686,-0.1254240870475769,0.15196892619132996
Squirrel,0,test,557,557,0,2,3,-0.11773133277893066,-1.829738736152649,-1.7120074033737183
Squirrel,0,test,560,560,4,2,2,-0.2469475269317627,-0.12725520133972168,0.11969232559204102
Squirrel,0,test,583,583,1,2,0,-0.15564244985580444,-0.25691676139831543,-0.10127431154251099
Squirrel,0,test,584,584,2,2,0,0.068942129611969,-0.7816622853279114,-0.8506044149398804
Squirrel,0,test,590,590,2,2,2,0.17969214916229248,0.3775806427001953,0.19788849353790283
Squirrel,0,test,595,595,3,2,2,-0.33436906337738037,-0.3776840567588806,-0.043314993381500244
Squirrel,0,test,597,597,3,2,2,-0.31356939673423767,-0.2814006805419922,0.03216871619224548
Squirrel,0,test,605,605,2,2,0,0.09526640176773071,-0.34418538212776184,-0.43945178389549255
Squirrel,0,test,609,609,1,2,2,-0.12210065126419067,-0.3891600966453552,-0.26705944538116455
Squirrel,0,test,616,616,3,2,2,-0.3699725270271301,-0.2986721992492676,0.07130032777786255
Squirrel,0,test,633,633,0,2,4,-0.4403573274612427,-2.8391308784484863,-2.398773670196533
Squirrel,0,test,644,644,0,2,0,-0.03439071774482727,0.3825255334377289,0.41691625118255615
Squirrel,0,test,652,652,4,2,2,-0.26460328698158264,-0.42633262276649475,-0.1617293357849121
Squirrel,0,test,655,655,1,2,2,-0.16108757257461548,-0.6114102602005005,-0.450322687625885
Squirrel,0,test,656,656,3,2,2,-0.2834424376487732,-0.6221047043800354,-0.3386622667312622
Squirrel,0,test,678,678,3,2,2,-0.31764256954193115,-0.7721421718597412,-0.45449960231781006
Squirrel,0,test,681,681,2,2,0,0.10320696234703064,-0.32368093729019165,-0.4268878996372223
Squirrel,0,test,682,682,1,2,4,-0.18289530277252197,-1.4094043970108032,-1.2265090942382812
Squirrel,0,test,687,687,2,2,2,0.179615318775177,0.38072848320007324,0.20111316442489624
Squirrel,0,test,690,690,1,2,0,-0.1285189986228943,-0.28172463178634644,-0.15320563316345215
Squirrel,0,test,691,691,3,2,4,-0.3096013367176056,-0.3466683030128479,-0.03706696629524231
Squirrel,0,test,710,710,2,2,0,0.15661585330963135,-0.16647058725357056,-0.3230864405632019
Squirrel,0,test,722,722,4,2,2,-0.20628118515014648,-0.3798949718475342,-0.1736137866973877
Squirrel,0,test,734,734,4,2,4,-0.14469614624977112,0.020096957683563232,0.16479310393333435
Squirrel,0,test,737,737,0,2,4,-0.5295407772064209,-3.2538161277770996,-2.7242753505706787
Squirrel,0,test,739,739,3,2,2,-0.39733344316482544,-0.7463801503181458,-0.3490467071533203
Squirrel,0,test,743,743,1,2,2,-0.1251218616962433,-0.6183964014053345,-0.4932745397090912
Squirrel,0,test,746,746,1,2,2,-0.11523100733757019,-0.8323190212249756,-0.717087984085083
Squirrel,0,test,747,747,4,2,2,-0.1618674397468567,-0.27935677766799927,-0.11748933792114258
Squirrel,0,test,748,748,1,2,2,-0.16987860202789307,-0.6983327865600586,-0.5284541845321655
Squirrel,0,test,756,756,2,2,0,0.1508084535598755,-0.07816469669342041,-0.2289731502532959
Squirrel,0,test,764,764,0,2,2,-0.21430012583732605,-0.04380011558532715,0.1705000102519989
Squirrel,0,test,778,778,1,2,2,-0.1769881248474121,-0.7393859624862671,-0.562397837638855
Squirrel,0,test,783,783,0,2,4,-0.021285563707351685,-0.5746052265167236,-0.5533196926116943
Squirrel,0,test,784,784,4,2,4,-0.13906028866767883,0.042816758155822754,0.1818770468235016
Squirrel,0,test,793,793,2,2,0,0.14746379852294922,-0.4566934108734131,-0.6041572093963623
Squirrel,0,test,795,795,1,2,4,-0.1890263557434082,-2.132568120956421,-1.9435417652130127
Squirrel,0,test,801,801,3,2,4,-0.3540823459625244,-0.2757449150085449,0.07833743095397949
Squirrel,0,test,803,803,3,2,2,-0.3812445402145386,-0.5599790215492249,-0.17873448133468628
Squirrel,0,test,809,809,4,2,2,-0.16369271278381348,-0.5406914949417114,-0.37699878215789795
Squirrel,0,test,811,811,0,2,2,-0.2961875796318054,-1.0561774969100952,-0.7599899172782898
Squirrel,0,test,814,814,2,2,2,0.18264245986938477,0.33646249771118164,0.15382003784179688
Squirrel,0,test,830,830,0,2,0,-0.08735579252243042,0.2893723249435425,0.3767281174659729
Squirrel,0,test,839,839,3,2,4,-0.32063889503479004,-0.22893857955932617,0.09170031547546387
Squirrel,0,test,843,843,4,2,4,-0.2044365406036377,0.9739062190055847,1.1783428192138672
Squirrel,0,test,848,848,1,2,4,-0.20399761199951172,-0.6389263868331909,-0.4349287748336792
Squirrel,0,test,851,851,0,2,2,-0.47827696800231934,-1.282914161682129,-0.8046371936798096
Squirrel,0,test,852,852,2,2,2,0.1694985032081604,0.2915427088737488,0.12204420566558838
Squirrel,0,test,853,853,4,2,2,-0.15432286262512207,-0.024036377668380737,0.13028648495674133
Squirrel,0,test,860,860,4,2,0,-0.19588124752044678,-0.20309782028198242,-0.0072165727615356445
Squirrel,0,test,865,865,0,2,2,-0.10542327165603638,-0.07611708343029022,0.029306188225746155
Squirrel,0,test,870,870,0,2,2,-0.1468816101551056,-0.2516058683395386,-0.10472425818443298
Squirrel,0,test,872,872,4,2,0,-0.20864960551261902,-0.683150053024292,-0.474500447511673
Squirrel,0,test,874,874,3,0,0,-0.19338980317115784,-0.9417715072631836,-0.7483817338943481
Squirrel,0,test,886,886,4,2,2,-0.15512299537658691,-0.025560498237609863,0.12956249713897705
Squirrel,0,test,889,889,0,2,1,-0.4411041736602783,-0.21420109272003174,0.22690308094024658
Squirrel,0,test,900,900,2,2,0,0.025692671537399292,-0.4852677583694458,-0.5109604597091675
Squirrel,0,test,906,906,1,2,2,-0.15177112817764282,-0.5418392419815063,-0.3900681138038635
Squirrel,0,test,908,908,4,2,4,-0.19229376316070557,0.6389737129211426,0.8312674760818481
Squirrel,0,test,919,919,0,2,2,-0.2209911346435547,-0.08565235137939453,0.13533878326416016
Squirrel,0,test,922,922,2,2,4,0.17825698852539062,-0.12138426303863525,-0.2996412515640259
Squirrel,0,test,940,940,0,2,0,-0.08574852347373962,0.15374207496643066,0.2394905984401703
Squirrel,0,test,941,941,4,2,2,-0.16882741451263428,-0.09105610847473145,0.07777130603790283
Squirrel,0,test,947,947,2,2,2,0.12593680620193481,0.17752569913864136,0.05158889293670654
Squirrel,0,test,956,956,2,2,2,0.08636701107025146,0.3629000186920166,0.27653300762176514
Squirrel,0,test,959,959,0,2,0,-0.18306085467338562,0.002942979335784912,0.18600383400917053
Squirrel,0,test,963,963,0,2,2,-0.13131177425384521,-0.1370878517627716,-0.005776077508926392
Squirrel,0,test,967,967,3,2,2,-0.3761419653892517,-0.3414113521575928,0.034730613231658936
Squirrel,0,test,968,968,4,2,0,-0.21897730231285095,-0.6314842700958252,-0.41250696778297424
Squirrel,0,test,975,975,2,0,0,-0.04029947519302368,-0.8456634283065796,-0.8053639531135559
Squirrel,0,test,983,983,2,2,2,0.1444692611694336,0.5017452239990234,0.35727596282958984
